date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,-4,-10,0.0,8.7,2,32,11:07 AM,10:50 PM,08:20 AM,05:40 PM,-14,-14,-7,-14,29,17,59,0.0,1023,-4,10,306,20,new_york_city
2009-01-02,-1,-8,0.4,3.5,1,39,11:28 AM,11:54 PM,08:20 AM,05:41 PM,-7,-8,-3,-8,21,59,74,0.5,1014,-1,9,226,12,new_york_city
2009-01-03,2,-4,0.0,8.7,2,46,11:50 AM,No moonset,08:20 AM,05:42 PM,-5,-8,-2,-8,33,7,76,0.0,1016,2,10,292,21,new_york_city
2009-01-04,4,-5,0.0,8.7,2,53,12:14 PM,12:59 AM,08:20 AM,05:43 PM,-7,-6,-1,-6,20,11,65,0.0,1019,4,10,280,13,new_york_city
2009-01-05,6,0,0.0,8.7,2,59,12:42 PM,02:08 AM,08:20 AM,05:43 PM,0,-1,3,-1,19,37,85,0.2,1015,6,10,287,11,new_york_city
2009-01-06,1,-2,1.9,7.0,1,66,01:16 PM,03:22 AM,08:20 AM,05:44 PM,-5,-4,-0,-4,13,45,70,2.2,1016,1,9,133,9,new_york_city
2009-01-07,4,1,0.0,3.5,1,73,01:59 PM,04:37 AM,08:20 AM,05:45 PM,3,-1,3,-1,26,90,97,47.9,995,4,6,143,16,new_york_city
2009-01-08,1,-2,1.7,3.5,1,80,02:54 PM,05:53 AM,08:20 AM,05:46 PM,-3,-6,-0,-6,41,52,83,2.1,999,1,9,258,26,new_york_city
2009-01-09,0,-4,0.0,5.2,1,86,04:01 PM,07:02 AM,08:20 AM,05:47 PM,-8,-8,-2,-8,28,29,65,0.0,1016,0,10,301,20,new_york_city
2009-01-10,-2,-4,6.5,3.5,1,93,05:19 PM,08:01 AM,08:19 AM,05:48 PM,-6,-7,-3,-7,15,68,79,9.7,1023,-2,7,161,10,new_york_city
2009-01-11,-0,-5,3.8,3.5,1,100,06:39 PM,08:48 AM,08:19 AM,05:49 PM,-3,-7,-2,-7,19,76,90,9.1,1013,-0,9,294,13,new_york_city
2009-01-12,-0,-6,0.0,8.7,2,93,07:59 PM,09:26 AM,08:19 AM,05:50 PM,-7,-8,-4,-8,16,20,77,0.0,1022,-0,10,297,11,new_york_city
2009-01-13,4,-4,0.0,8.7,1,86,09:15 PM,09:56 AM,08:18 AM,05:52 PM,-3,-4,-0,-4,16,39,83,0.0,1017,4,8,190,9,new_york_city
2009-01-14,-5,-9,0.1,8.7,2,80,10:26 PM,10:22 AM,08:18 AM,05:53 PM,-12,-12,-6,-12,24,21,66,0.1,1018,-5,9,279,17,new_york_city
2009-01-15,-6,-9,1.4,3.5,1,73,11:35 PM,10:46 AM,08:18 AM,05:54 PM,-12,-13,-7,-13,20,73,70,1.7,1023,-6,6,186,14,new_york_city
2009-01-16,-8,-11,0.0,7.0,1,66,No moonrise,11:10 AM,08:17 AM,05:55 PM,-16,-17,-10,-17,21,35,61,0.1,1033,-8,10,284,16,new_york_city
2009-01-17,-8,-14,0.0,7.0,1,59,12:41 AM,11:34 AM,08:17 AM,05:56 PM,-15,-16,-11,-16,11,35,69,0.0,1033,-8,10,236,9,new_york_city
2009-01-18,0,-7,2.9,5.3,1,53,01:47 AM,12:00 PM,08:16 AM,05:57 PM,-5,-5,-3,-5,9,78,85,3.4,1015,0,5,145,6,new_york_city
2009-01-19,1,-6,3.5,5.3,1,46,02:51 AM,12:30 PM,08:16 AM,05:58 PM,-4,-6,-3,-6,12,47,90,4.1,1005,1,7,279,7,new_york_city
2009-01-20,-3,-7,0.0,8.7,2,39,03:54 AM,01:06 PM,08:15 AM,05:59 PM,-8,-11,-5,-11,23,21,85,0.0,1006,-3,8,332,15,new_york_city
2009-01-21,-5,-10,0.0,9.9,2,32,04:54 AM,01:48 PM,08:15 AM,06:01 PM,-10,-14,-8,-14,24,14,83,0.0,1013,-5,10,296,15,new_york_city
2009-01-22,1,-8,0.0,9.9,2,25,05:49 AM,02:36 PM,08:14 AM,06:02 PM,-6,-9,-4,-9,25,14,83,0.0,1016,1,10,250,15,new_york_city
2009-01-23,6,-3,0.0,9.9,1,19,06:37 AM,03:31 PM,08:13 AM,06:03 PM,-1,-2,1,-2,21,19,87,0.0,1014,6,9,208,12,new_york_city
2009-01-24,-1,-7,0.0,9.9,1,12,07:19 AM,04:31 PM,08:13 AM,06:04 PM,-6,-8,-2,-8,34,45,74,0.0,1017,-1,10,307,22,new_york_city
2009-01-25,-3,-8,0.0,9.9,1,5,07:54 AM,05:34 PM,08:12 AM,06:05 PM,-13,-11,-6,-11,15,23,55,0.1,1027,-3,10,283,11,new_york_city
2009-01-26,-1,-9,0.0,10.0,1,2,08:23 AM,06:36 PM,08:11 AM,06:07 PM,-11,-9,-5,-9,13,34,65,0.0,1030,-1,10,294,9,new_york_city
2009-01-27,-1,-6,0.0,10.0,2,8,08:49 AM,07:40 PM,08:10 AM,06:08 PM,-8,-8,-4,-8,11,39,76,0.0,1031,-1,10,219,7,new_york_city
2009-01-28,4,-4,8.5,5.0,1,15,09:12 AM,08:43 PM,08:09 AM,06:09 PM,0,-4,1,-4,33,90,95,37.5,1013,4,4,146,19,new_york_city
2009-01-29,1,-5,0.1,10.0,2,22,09:34 AM,09:47 PM,08:08 AM,06:10 PM,-5,-8,-2,-8,25,11,79,0.1,1014,1,10,276,16,new_york_city
2009-01-30,1,-5,1.0,10.0,1,29,09:56 AM,10:51 PM,08:08 AM,06:11 PM,-4,-6,-2,-6,19,40,84,1.2,1014,1,8,249,12,new_york_city
2009-01-31,-3,-7,0.3,10.0,1,35,10:19 AM,11:58 PM,08:07 AM,06:13 PM,-10,-12,-5,-12,28,29,67,0.4,1016,-3,9,278,19,new_york_city
2009-02-01,5,-7,0.0,10.1,2,42,10:44 AM,No moonset,08:06 AM,06:14 PM,-3,-5,-0,-5,27,20,84,0.0,1014,5,10,225,14,new_york_city
2009-02-02,9,0,0.0,10.1,1,49,11:15 AM,01:08 AM,08:05 AM,06:15 PM,1,0,3,0,16,25,87,0.0,1014,9,7,241,9,new_york_city
2009-02-03,0,-3,11.1,5.1,1,56,11:53 AM,02:21 AM,08:04 AM,06:16 PM,-2,-6,-1,-6,27,95,90,13.1,1009,0,2,183,18,new_york_city
2009-02-04,-3,-9,0.9,10.1,2,63,12:40 PM,03:34 AM,08:03 AM,06:17 PM,-9,-11,-5,-11,23,34,75,1.1,1017,-3,9,336,16,new_york_city
2009-02-05,-7,-13,0.0,6.7,1,69,01:40 PM,04:44 AM,08:02 AM,06:19 PM,-12,-18,-10,-18,29,37,82,0.0,1027,-7,10,310,20,new_york_city
2009-02-06,-1,-11,0.0,10.2,2,76,02:50 PM,05:46 AM,08:01 AM,06:20 PM,-8,-10,-5,-10,14,22,81,0.0,1029,-1,10,239,10,new_york_city
2009-02-07,6,-5,0.0,10.2,2,83,04:08 PM,06:37 AM,08:00 AM,06:21 PM,-1,-3,1,-3,19,26,85,0.0,1024,6,10,209,11,new_york_city
2009-02-08,10,1,0.0,10.0,2,90,05:29 PM,07:19 AM,07:58 AM,06:22 PM,4,2,6,2,36,28,89,0.9,1017,10,10,279,20,new_york_city
2009-02-09,7,-0,0.0,10.7,2,96,06:46 PM,07:52 AM,07:57 AM,06:24 PM,-1,-0,3,-0,15,6,76,0.0,1028,7,10,274,10,new_york_city
2009-02-10,6,0,0.0,6.9,1,97,08:01 PM,08:20 AM,07:56 AM,06:25 PM,1,1,3,1,11,67,86,0.1,1023,6,7,171,6,new_york_city
2009-02-11,15,6,0.0,8.5,3,90,09:13 PM,08:46 AM,07:55 AM,06:26 PM,9,8,10,8,16,56,93,0.0,1012,15,8,207,9,new_york_city
2009-02-12,8,5,0.0,5.4,2,83,10:22 PM,09:10 AM,07:54 AM,06:27 PM,5,4,8,4,56,77,81,8.8,998,8,7,256,33,new_york_city
2009-02-13,4,-2,0.0,10.8,2,76,11:30 PM,09:35 AM,07:52 AM,06:28 PM,-4,-3,2,-3,38,19,66,0.0,1011,4,10,306,24,new_york_city
2009-02-14,5,-3,0.1,10.8,2,70,No moonrise,10:01 AM,07:51 AM,06:30 PM,-8,-4,0,-4,19,40,54,0.1,1014,5,9,293,13,new_york_city
2009-02-15,6,-2,0.0,10.8,2,63,12:36 AM,10:30 AM,07:50 AM,06:31 PM,-7,-3,1,-3,22,8,57,0.0,1017,6,10,323,15,new_york_city
2009-02-16,4,-3,0.0,10.8,2,56,01:42 AM,11:04 AM,07:49 AM,06:32 PM,-7,-5,-0,-5,20,30,62,0.0,1021,4,10,300,13,new_york_city
2009-02-17,5,-4,0.0,10.9,2,49,02:43 AM,11:44 AM,07:47 AM,06:33 PM,-8,-4,-0,-4,15,16,58,0.0,1024,5,10,297,10,new_york_city
2009-02-18,5,-2,0.0,7.0,1,43,03:41 AM,12:29 PM,07:46 AM,06:35 PM,-2,-2,2,-2,25,58,78,10.3,1012,5,9,177,15,new_york_city
2009-02-19,8,-4,0.0,10.1,2,36,04:32 AM,01:23 PM,07:45 AM,06:36 PM,1,-0,4,-0,28,64,82,3.8,998,8,6,256,18,new_york_city
2009-02-20,-0,-5,0.0,10.1,1,29,05:16 AM,02:20 PM,07:43 AM,06:37 PM,-12,-10,-3,-10,40,69,50,0.0,1009,-0,8,274,28,new_york_city
2009-02-21,5,-4,0.0,11.0,2,22,05:54 AM,03:23 PM,07:42 AM,06:38 PM,-9,-5,-0,-5,26,12,54,0.0,1022,5,10,245,17,new_york_city
2009-02-22,5,-2,1.8,7.0,1,16,06:25 AM,04:25 PM,07:40 AM,06:39 PM,-1,-3,1,-3,26,56,84,2.7,1015,5,8,228,16,new_york_city
2009-02-23,-0,-5,0.0,11.0,2,9,06:52 AM,05:30 PM,07:39 AM,06:40 PM,-11,-10,-3,-10,40,33,55,0.0,1019,-0,10,298,28,new_york_city
2009-02-24,2,-7,0.0,11.1,2,2,07:17 AM,06:33 PM,07:37 AM,06:42 PM,-11,-9,-3,-9,29,21,57,0.0,1026,2,10,311,21,new_york_city
2009-02-25,6,-6,0.0,11.1,2,5,07:39 AM,07:38 PM,07:36 AM,06:43 PM,-10,-3,-1,-3,12,17,52,0.0,1031,6,10,237,8,new_york_city
2009-02-26,9,-1,0.0,11.1,1,12,08:01 AM,08:43 PM,07:34 AM,06:44 PM,-1,-0,3,-0,16,27,79,0.3,1027,9,8,199,10,new_york_city
2009-02-27,13,2,0.0,7.1,3,18,08:24 AM,09:50 PM,07:33 AM,06:45 PM,7,6,9,6,40,67,88,4.8,1017,13,9,186,22,new_york_city
2009-02-28,4,-2,0.0,11.2,2,25,08:49 AM,11:00 PM,07:31 AM,06:46 PM,-3,-2,2,-2,28,33,71,3.8,1021,4,10,221,19,new_york_city
2009-03-01,0,-2,6.9,8.6,1,32,09:19 AM,No moonset,07:30 AM,06:47 PM,-4,-6,-1,-6,25,75,80,8.1,1019,0,7,33,17,new_york_city
2009-03-02,-5,-10,0.1,5.6,1,39,09:54 AM,12:11 AM,07:28 AM,06:49 PM,-7,-14,-6,-14,40,94,95,12.8,1013,-5,5,215,26,new_york_city
